"Processo","Classe","Data Autuação","Data Prazo Inicial","Data Prazo Final","Data Ocorrência","Órgão","Juiz"
"0000144-46.2014.5.21.0010","985 - RTOrd","29/08/2017",,,"18/07/2017","11ª VT NATAL",""
"0000358-41.2014.5.21.0041","985 - RTOrd","31/03/2014",,,"10/09/2018","11ª VT NATAL",""
"0000414-74.2014.5.21.0041","985 - RTOrd","11/04/2014",,,"25/01/2019","11ª VT NATAL",""
"0000532-50.2014.5.21.0041","985 - RTOrd","13/05/2014",,,"16/06/2014","11ª VT NATAL",""
"0001240-03.2014.5.21.0041","1125 - RTSum","08/10/2014",,,"17/02/2017","11ª VT NATAL",""
"0000429-08.2015.5.21.0009","985 - RTOrd","29/08/2017",,,"15/08/2019","11ª VT NATAL",""
"0000443-90.2015.5.21.0041","985 - RTOrd","16/04/2015",,,"02/06/2017","11ª VT NATAL",""
"0000060-78.2016.5.21.0041","985 - RTOrd","20/01/2016",,,"09/08/2016","11ª VT NATAL",""
"0000752-77.2016.5.21.0041","985 - RTOrd","09/06/2016",,,"29/08/2018","11ª VT NATAL",""
"0000934-63.2016.5.21.0041","985 - RTOrd","12/07/2016",,,"18/08/2016","11ª VT NATAL",""
"0001472-46.2016.5.21.0008","985 - RTOrd","29/08/2017",,,"08/07/2017","11ª VT NATAL",""
"0001472-46.2016.5.21.0008","985 - RTOrd","29/08/2017",,,"01/08/2017","11ª VT NATAL",""
"0001573-98.2016.5.21.0003","985 - RTOrd","14/11/2016",,,"27/09/2018","11ª VT NATAL",""
"0001616-18.2016.5.21.0041","1125 - RTSum","23/11/2016",,,"22/02/2017","11ª VT NATAL",""
"0000180-53.2018.5.21.0041","1125 - RTSum","26/03/2018",,,"16/07/2019","11ª VT NATAL",""
"0000555-54.2018.5.21.0041","1125 - RTSum","20/08/2018",,,"02/05/2019","11ª VT NATAL",""
